Index,InjuryID,SeasonType,Season,Week,PlayerID,Name,Position,Number,Team,Opponent,BodyPart,Status,Updated,DeclaredInactive,TeamID,OpponentID,NoramlizedWeek
8079,290394,POST,2021,4,22868,Joseph Ossai,DE,58,CIN,LAR,Knee,Out,2022-02-08T14:07:31,TRUE,7,32,26
8081,290393,POST,2021,4,22848,Robert Rochell,DB,31,LAR,CIN,Chest,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8078,290392,POST,2021,4,22842,Wyatt Hubert,DE,56,CIN,LAR,Pectoral,Out,2022-02-08T14:07:31,TRUE,7,32,26
8077,290391,POST,2021,4,22835,Cam Sample,DE,96,CIN,LAR,Groin,Questionable,2022-02-08T14:07:31,FALSE,7,32,26
8076,290390,POST,2021,4,22732,Jackson Carman,G,79,CIN,LAR,Back,Questionable,2022-02-08T14:07:31,FALSE,7,32,26
8084,290389,POST,2021,4,22683,Jacob Harris,WR,87,LAR,CIN,Acl,Out,2022-02-08T14:07:31,TRUE,32,7,26
8083,290388,POST,2021,4,22602,Tutu Atwell,WR,15,LAR,CIN,Shoulder,Out,2022-02-08T14:07:31,TRUE,32,7,26
8082,290387,POST,2021,4,22334,Christian Rozeboom,LB,56,LAR,CIN,Elbow,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8075,290386,POST,2021,4,21999,Akeem Davis-Gaither,LB,59,CIN,LAR,Foot,Out,2022-02-08T14:07:31,TRUE,7,32,26
8074,290385,POST,2021,4,21955,Thaddeus Moss,TE,81,CIN,LAR,Hamstring,Out,2022-02-08T14:07:31,TRUE,7,32,26
8085,290384,POST,2021,4,21937,Jordan Fuller,S,4,LAR,CIN,Ankle,Out,2022-02-08T14:07:31,TRUE,32,7,26
8073,290383,POST,2021,4,21913,Joe Bachie,LB,49,CIN,LAR,Acl,Out,2022-02-08T14:07:31,TRUE,7,32,26
8087,290382,POST,2021,4,21739,Van Jefferson,WR,12,LAR,CIN,Knee,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8086,290381,POST,2021,4,21688,Cam Akers,RB,23,LAR,CIN,Shoulder,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8072,290380,POST,2021,4,20886,Stanley Morgan,WR,17,CIN,LAR,Hamstring,Questionable,2022-02-08T14:07:31,FALSE,7,32,26
8089,290379,POST,2021,4,20798,Darrell Henderson Jr.,RB,27,LAR,CIN,Knee,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8088,290378,POST,2021,4,20339,Grant Haley,DB,46,LAR,CIN,Quad,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8071,290377,POST,2021,4,20057,Auden Tate,WR,19,CIN,LAR,Calf,Out,2022-02-08T14:07:31,TRUE,7,32,26
8090,290376,POST,2021,4,19985,Sebastian Joseph-Day,NT,69,LAR,CIN,Chest,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8070,290375,POST,2021,4,19968,Darius Phillips,CB,23,CIN,LAR,Shoulder,Out,2022-02-08T14:07:31,TRUE,7,32,26
8091,290374,POST,2021,4,19895,Joe Noteboom,G,70,LAR,CIN,Chest,Doubtful,2022-02-08T14:07:31,FALSE,32,7,26
8069,290373,POST,2021,4,19228,Josh Tupou,DT,68,CIN,LAR,Knee,Questionable,2022-02-08T14:07:31,FALSE,7,32,26
8093,290372,POST,2021,4,19165,Johnny Mundt,TE,82,LAR,CIN,Knee (acl),Out,2022-02-08T14:07:31,TRUE,32,7,26
8067,290371,POST,2021,4,19076,Brandon Wilson,FS,40,CIN,LAR,Knee,Out,2022-02-08T14:07:31,TRUE,7,32,26
8066,290370,POST,2021,4,19075,Mason Schreck,TE,86,CIN,LAR,Ankle,Out,2022-02-08T14:07:31,TRUE,7,32,26
8065,290369,POST,2021,4,19074,Jordan Evans,OLB,50,CIN,LAR,Knee (acl),Out,2022-02-08T14:07:31,TRUE,7,32,26
8064,290368,POST,2021,4,18952,Larry Ogunjobi,DT,65,CIN,LAR,Foot,Out,2022-02-08T14:07:31,TRUE,7,32,26
8096,290366,POST,2021,4,18467,Sharrod Neasman,FS,41,LAR,CIN,Undisclosed,Out,2022-02-08T14:07:31,TRUE,32,7,26
8095,290365,POST,2021,4,18032,Tyler Higbee,TE,89,LAR,CIN,Knee,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8094,290364,POST,2021,4,17919,Jalen Ramsey,DB,5,LAR,CIN,Shoulder,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8063,290363,POST,2021,4,16917,C.J. Uzomah,TE,87,CIN,LAR,Knee (mcl),Questionable,2022-02-08T14:07:31,FALSE,7,32,26
8092,290362,POST,2021,4,14871,Robert Woods,WR,2,LAR,CIN,Knee (acl),Out,2022-02-08T14:07:31,TRUE,32,7,26
8068,290361,POST,2021,4,14222,Riley Reiff,OT,71,CIN,LAR,Ankle,Out,2022-02-08T14:07:31,TRUE,7,32,26
8080,290359,POST,2021,4,5099,Andrew Whitworth,OT,77,LAR,CIN,Quad,Questionable,2022-02-08T14:07:31,FALSE,32,7,26
8032,290279,POST,2021,3,20798,Darrell Henderson Jr.,RB,27,LAR,SF,Knee,Questionable,2022-01-30T18:27:26,FALSE,32,31,25
8044,290278,POST,2021,3,22934,Chris Garrett,OLB,48,LAR,SF,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,32,31,25
8039,290277,POST,2021,3,21983,Tremayne Anchrum Jr.,G,72,LAR,SF,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,32,31,25
8042,290276,POST,2021,3,21903,Terrell Lewis,OLB,52,LAR,SF,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,32,31,25
8036,290275,POST,2021,3,21678,Brycen Hopkins,TE,88,LAR,SF,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,32,31,25
8059,290274,POST,2021,3,22899,Deommodore Lenoir,CB,38,SF,LAR,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,31,32,25
8060,290273,POST,2021,3,22708,Aaron Banks,OL,65,SF,LAR,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,31,32,25
8037,290272,POST,2021,3,21819,Bryce Perkins,QB,16,LAR,SF,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,32,31,25
8057,290271,POST,2021,3,20000,Marcell Harris,LB,36,SF,LAR,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,31,32,25
8056,290270,POST,2021,3,19921,Maurice Hurst,DT,96,SF,LAR,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,31,32,25
8050,290269,POST,2021,3,13878,Mohamed Sanu Sr.,WR,6,SF,LAR,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,31,32,25
8047,290268,POST,2021,3,18104,Nate Sudfeld,QB,7,SF,LAR,Gameday Inactive,Out,2022-01-30T18:27:26,TRUE,31,32,25
8017,290267,POST,2021,3,22895,Joshua Kaindoh,DE,59,KC,CIN,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,16,7,25
8020,290266,POST,2021,3,22020,Prince Tega Wanogho,OT,70,KC,CIN,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,16,7,25
8023,290265,POST,2021,3,21634,Derrick Gore,RB,40,KC,CIN,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,16,7,25
8026,290264,POST,2021,3,20934,Khalen Saunders,NT,99,KC,CIN,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,16,7,25
8021,290263,POST,2021,3,21818,Shane Buechele,QB,6,KC,CIN,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,16,7,25
8010,290262,POST,2021,3,21263,Trenton Irwin,WR,16,CIN,KC,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,7,16,25
8024,290261,POST,2021,3,21020,DeAndre Baker,CB,30,KC,CIN,Gaemday Inactive,Out,2022-01-30T14:57:26,TRUE,16,7,25
8008,290260,POST,2021,3,20990,Trayveon Williams,RB,32,CIN,KC,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,7,16,25
8006,290259,POST,2021,3,20831,Fred Johnson,OT,74,CIN,KC,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,7,16,25
8002,290258,POST,2021,3,17955,Vernon Hargreaves III,CB,29,CIN,KC,Gameday Inactive,Out,2022-01-30T14:57:26,TRUE,7,16,25
8027,290256,POST,2021,3,20500,Darrel Williams,RB,31,KC,CIN,Toe,Probable,2022-01-30T14:57:26,FALSE,16,7,25
8034,290251,POST,2021,3,19895,Joe Noteboom,G,70,LAR,SF,Chest,Out,2022-01-30T18:27:26,TRUE,32,31,25
8058,290250,POST,2021,3,20360,Jeff Wilson Jr.,RB,22,SF,LAR,Ankle,Out,2022-01-30T18:27:26,TRUE,31,32,25
8048,290249,POST,2021,3,12308,Trent Williams,OT,71,SF,LAR,Knee,Probable,2022-01-30T18:27:26,FALSE,31,32,25
8003,290243,POST,2021,3,19228,Josh Tupou,DT,68,CIN,KC,Knee,Out,2022-01-30T14:57:26,TRUE,7,16,25
8014,290242,POST,2021,3,22835,Cam Sample,DE,96,CIN,KC,Groin,Out,2022-01-30T14:57:26,TRUE,7,16,25
8028,290241,POST,2021,3,15226,Tyrann Mathieu,SS,32,KC,CIN,Concussion,Probable,2022-01-30T14:57:26,FALSE,16,7,25
8016,290236,POST,2021,3,22868,Joseph Ossai,DE,58,CIN,KC,Knee,Out,2022-01-30T14:57:26,TRUE,7,16,25
8043,290234,POST,2021,3,22848,Robert Rochell,DB,31,LAR,SF,Chest,Questionable,2022-01-30T18:27:26,FALSE,32,31,25
8015,290232,POST,2021,3,22842,Wyatt Hubert,DE,56,CIN,KC,Pectoral,Out,2022-01-30T14:57:26,TRUE,7,16,25
8018,290231,POST,2021,3,22833,Malik Herring,DE,97,KC,CIN,Knee (acl),Out,2022-01-30T14:57:26,TRUE,16,7,25
8041,290229,POST,2021,3,22683,Jacob Harris,WR,87,LAR,SF,Acl,Out,2022-01-30T18:27:26,TRUE,32,31,25
8040,290227,POST,2021,3,22602,Tutu Atwell,WR,15,LAR,SF,Shoulder,Out,2022-01-30T18:27:26,TRUE,32,31,25
8013,290226,POST,2021,3,22544,Pooka Williams Jr.,RB,12,CIN,KC,Suspension,Out,2022-01-30T14:57:26,TRUE,7,16,25
8061,290223,POST,2021,3,22074,Darrion Daniels,DL,67,SF,LAR,Achillies,Out,2022-01-30T18:27:26,TRUE,31,32,25
8019,290220,POST,2021,3,22018,Lucas Niang,OT,67,KC,CIN,Knee,Out,2022-01-30T14:57:26,TRUE,16,7,25
8012,290219,POST,2021,3,21999,Akeem Davis-Gaither,LB,59,CIN,KC,Foot,Out,2022-01-30T14:57:26,TRUE,7,16,25
8038,290217,POST,2021,3,21937,Jordan Fuller,S,4,LAR,SF,Ankle,Out,2022-01-30T18:27:26,TRUE,32,31,25
8011,290216,POST,2021,3,21913,Joe Bachie,LB,49,CIN,KC,Acl,Out,2022-01-30T14:57:26,TRUE,7,16,25
8062,290214,POST,2021,3,21867,Javon Kinlaw,DT,99,SF,LAR,Knee,Out,2022-01-30T18:27:26,TRUE,31,32,25
8022,290211,POST,2021,3,21383,Jody Fortson,WR,88,KC,CIN,Achilles,Out,2022-01-30T14:57:26,TRUE,16,7,25
8054,290210,POST,2021,3,21119,Justin Skule,OT,67,SF,LAR,Acl,Out,2022-01-30T18:27:26,TRUE,31,32,25
8009,290209,POST,2021,3,21105,Elliott Fry,K,3,CIN,KC,Groin,Out,2022-01-30T14:57:26,TRUE,7,16,25
8035,290205,POST,2021,3,20919,Taylor Rapp,SS,24,LAR,SF,Concussion,Out,2022-01-30T18:27:26,TRUE,32,31,25
8007,290204,POST,2021,3,20886,Stanley Morgan,WR,17,CIN,KC,Hamstring,Out,2022-01-30T14:57:26,TRUE,7,16,25
8005,290198,POST,2021,3,20057,Auden Tate,WR,19,CIN,KC,Calf,Questionable,2022-01-30T14:57:26,FALSE,7,16,25
8025,290197,POST,2021,3,20050,Chris Lammons,SS,26,KC,CIN,Ankle Sprain,Out,2022-01-30T14:57:26,TRUE,16,7,25
8033,290195,POST,2021,3,19985,Sebastian Joseph-Day,NT,69,LAR,SF,Chest,Questionable,2022-01-30T18:27:26,FALSE,32,31,25
8004,290194,POST,2021,3,19968,Darius Phillips,CB,23,CIN,KC,Shoulder,Out,2022-01-30T14:57:26,TRUE,7,16,25
8055,290193,POST,2021,3,19907,Tarvarius Moore,FS,33,SF,LAR,Achilles,Out,2022-01-30T18:27:26,TRUE,31,32,25
8046,290191,POST,2021,3,19833,Mike McGlinchey,OT,69,SF,LAR,Quadricep,Out,2022-01-30T18:27:26,TRUE,31,32,25
8045,290188,POST,2021,3,19238,Taysom Hill,QB,7,NO,,Foot,Out,2022-01-30T22:27:26,TRUE,22,,25
8031,290186,POST,2021,3,19165,Johnny Mundt,TE,82,LAR,SF,Knee (acl),Out,2022-01-30T18:27:26,TRUE,32,31,25
8001,290184,POST,2021,3,19076,Brandon Wilson,FS,40,CIN,KC,Knee,Out,2022-01-30T14:57:26,TRUE,7,16,25
8000,290183,POST,2021,3,19075,Mason Schreck,TE,86,CIN,KC,Ankle,Out,2022-01-30T14:57:26,TRUE,7,16,25
7999,290182,POST,2021,3,19074,Jordan Evans,OLB,50,CIN,KC,Knee (acl),Out,2022-01-30T14:57:26,TRUE,7,16,25
7998,290181,POST,2021,3,18952,Larry Ogunjobi,DT,65,CIN,KC,Foot,Out,2022-01-30T14:57:26,TRUE,7,16,25
8053,290175,POST,2021,3,17217,Raheem Mostert,RB,31,SF,LAR,Knee,Out,2022-01-30T18:27:26,TRUE,31,32,25
8052,290172,POST,2021,3,16353,Jason Verrett,CB,2,SF,LAR,Torn Acl,Out,2022-01-30T18:27:26,TRUE,31,32,25
